Teste individual Vehicle_det.onnx
Class       Images  Instances      Box(P          R      mAP50  mAP50-95):
E       120     64      56      76      0.4571  0.5333
F       30      28      2       164     0.1458  0.9333
G       120     46      74      204     0.184   0.3833
H       90      43      47      43      0.5     0.4778
I       150     132     18      501     0.2085  0.88
J       120     50      70      91      0.3546  0.4167
K       120     35      85      143     0.1966  0.2917
L       150     128     22      207     0.3821  0.8533
M       210     108     102     417     0.2057  0.5143
N       30      0       30      18      0.0     0.0
P       270     246     24      312     0.4409  0.9111
Q       90      41      49      111     0.2697  0.4556
R       120     58      62      172     0.2522  0.4833
S       240     157     83      180     0.4659  0.6542
T       90      37      53      41      0.4744  0.4111
U       120     112     8       118     0.487   0.9333
V       150     121     29      237     0.338   0.8067
W       300     31      269     31      0.5     0.1033
X       120     99      21      115     0.4626  0.825
Y       270     246     24      329     0.4278  0.9111
Z       240     177     63      255     0.4097  0.7375
all     12600   10024   2576    12095   0.4532  0.7956
